 name                                               | tier
 Schematic: Perfected Ferralith Chisel              | 3    
 Overloaded Ferralith Head Power Source             | 3    
 Comprehensive Stone Diagrams                       | 6    
 Perfected Ferralith Knife                          | 4    
 Fine Stone Leg Power Source                        | 4    
 Savory Roasted Fish                                | 2    
 Starseeker Researcher's Gloves                     | 5    
 Comprehensive Study Journal                        | 6    
 Decayed Pyrelite Hoe                               | 1    
 Peerless Medium Leather Output                     | 6    
 Sturdy Plank                                       | 3    
 Mossfin Chub Filet                                 | 4    
 Rough Stone Leg Power Source                       | 1    
 Fine Ink                                           | 4    
 Decayed Pyrelite Pickaxe                           | 1    
 Starseeker Scribe's Footwraps                      | 1    
 Emberscale Sturgeon                                | 5    
 Pyrelite Head Power Source                         | 1    
 Fine Bulb Rolls                                    | 4    
 Perfected Lirium Pot                               | 6    
 Simple Rough Shoes                                 | 1    
 Ancient Adventurer's Letter #2                     | -1   
 Simple Tree Bark                                   | 2    
 Aurumite Bow                                       | 2    
 Rough Tree Bark                                    | 1    
 Schematic: Perfected Luminite Hammer               | 6    
 Rough Repaired Ancient Mechanism                   | 1    
 Overloaded Rough Cloth Module                      | 1    
 Dried Fine Flowers                                 | 4    
 Rough Radiant Module                               | -1   
 Overloaded Sturdy Cloth Hand Power Source          | 3    
 Peerless Repaired Ancient Resistor                 | 6    
 Diamond Inlaid Elenvar Module                      | 4    
 Sapphire Inlaid Simple Cloth Torso Power Source    | 2    
 Succulent Cooked Berries                           | 5    
 Exquisite Unpowered Cloth Module                   | 5    
 Luminite Ore Piece                                 | 6    
 Simple Pebbles                                     | 2    
 Elenvar Pickaxe                                    | 4    
 Deed: Rideable Deer                                | -1   
 Zesty Vegetable Stew                               | 3    
 Hexfin Perch Products                              | 6    
 Advanced Study Journal                             | 5    
 Succulent Chilling Tea                             | 5    
 Emerald Inlaid Rough Stone Hand Power Source       | 1    
 Massive Rough Sapphire                             | 1    
 Elenvar Torso Power Source                         | 4    
 Sturdy Cloth Output                                | 3    
 Succulent Hot Tea                                  | 5    
 Overloaded Peerless Cloth Torso Power Source       | 6    
 Peerless Crop Oil                                  | 6    
 Cloth Armwraps                                     | 1    
 High Quality Simple Cloth Leg Power Source         | 2    
 Overloaded Fine Leather Module                     | 4    
 Rough Repaired Ancient Connector                   | 1    
 Schematic: Overloaded Pyrelite Module              | 1    
 Perfected Ferralith Cooking Pot Recipe             | 3    
 Savory Bulb Rolls                                  | 2    
 Schematic: Perfected Luminite Bow                  | 6    
 Moonlit Crawdad                                    | 1    
 Sturdy Untreated Plank Output                      | 3    
 Lirium Ingot                                       | 5    
 Peerless Wispweave Seeds                           | 6    
 Decayed Lirium Pickaxe                             | 3    
 Ancient Adventurer's Note                          | -1   
 Simple Wispweave Products                          | 2    
 Overloaded Simple Cloth Hand Power Source          | 2    
 Basic Embergrain Plant                             | 1    
 High Quality Aurumite Head Power Source            | 2    
 Tiny Fine Ruby                                     | 4    
 Ancient Footwraps                                  | 1    
 Perfected Aurumite Scissors Recipe                 | 2    
 Decayed Elenvar Hoe                                | 4    
 Basic Clay Lump                                    | 1    
 Expert's Mallet                                    | 1    
 Simple Gem Dust                                    | 2    
 Overloaded Pyrelite Hand Power Source              | 1    
 Teleport Crystal                                   | 1    
 Uncut Simple Sapphire                              | 2    
 Fine Embergrain Products                           | 4    
 Rough Repaired Head Power Source                   | 1    
 Savory Skewered Baitfish                           | 2    
 Rough Charcoal                                     | 1    
 Diamond Inlaid Pyrelite Hand Power Source          | 1    
 Overloaded Fine Cloth Leg Power Source             | 4    
 Rough Twine                                        | 1    
 Simple Stone Head Power Source                     | 2    
 Savory Vegetable Stew                              | 2    
 Ambrosial Raw Bulb Rolls                           | 6    
 Simple Radiant Module                              | -1   
 Ambrosial Ground Meat and Mashed Bulbs             | 6    
 Elegant Shirt                                      | 1    
 Perfected Pyrelite Rod                             | 2    
 Exquisite Cloth                                    | 5    
 Immortal Recruit's Boots                           | 1    
 Peerless Emerald                                   | 6    
 Ruby Inlaid Sturdy Leather Torso Power Source      | 3    
 Peerless Heated Module                             | 6    
 Pyrelite Bow                                       | 1    
 High Quality Rough Cloth Leg Power Source          | 1    
 Well Stitched Long Shorts                          | 1    
 Infused Embergrain Products                        | 3    
 Sturdy Spool Of Thread                             | 3    
 Wild Grain                                         | 1    
 Perfected Ferralith Trowel Recipe                  | 3    
 Rough Leather                                      | 1    
 Sturdy Cloth Leg Power Source                      | 3    
 High Quality Sturdy Leather Head Power Source      | 3    
 Perfected Luminite Scissors                        | 7    
 High Quality Sturdy Cloth Hand Power Source        | 3    
 Succulent Fish and Bulbs                           | 5    
 Simple Unfired Forester's Pot                      | 2    
 Peerless Cloth Head Power Source                   | 6    
 Exquisite Starbulb                                 | 5    
 Massive Sturdy Emerald                             | 3    
 Infused Tannin                                     | 3    
 Luminite Quill                                     | 6    
 Novice Building Blueprint                          | 2    
 Fancy Shirt                                        | 1    
 Infused Mortar                                     | 3    
 Ruby Inlaid Peerless Leather Module                | 6    
 Pyrelite Ingot Output                              | 1    
 Deed: Skiff                                        | 1    
 Auric Ore Concentrate                              | -1   
 Rough Cap                                          | 1    
 Immortal Recruit's Leggings                        | 1    
 Silken Hexmoth                                     | -1   
 Emberscale Sturgeon Products                       | 5    
 Simple Tannin                                      | 2    
 Fingerless Cloth Gloves                            | 1    
 Peerless Unpowered Stone Module                    | 6    
 Peerless Leather Leg Power Source                  | 6    
 Fine Ruby                                          | 4    
 High Quality Pyrelite Ingot                        | 1    
 Perfected Pyrelite Axe                             | 2    
 Pyrelite Knife                                     | 1    
 Fine Tree Bark                                     | 4    
 Exquisite Rock                                     | 5    
 Exquisite Fish Oil                                 | 5    
 High Quality Peerless Cloth Torso Power Source     | 6    
 Diamond Inlaid Ferralith Hand Power Source         | 3    
 Simple Stone Hand Power Source                     | 2    
 Peerless Stone Leg Power Source                    | 6    
 Perfected Elenvar Bow                              | 5    
 Sturdy Charcoal                                    | 3    
 Immortal Soldier's Armwrap                         | 3    
 Emerald Inlaid Simple Stone Head Power Source      | 2    
 Decayed Ferralith Rod                              | 3    
 Basic Bait                                         | 1    
 Essential Stone Diagram Research                   | 3    
 Savory Meat Sandwich                               | 2    
 Schematic: Perfected Elenvar Pickaxe               | 4    
 Ferralith Nails                                    | 3    
 Immortal Sergeant's Tunic                          | 5    
 Rough Repaired Ancient Spring                      | 1    
 Savory Roasted Ocean Fish                          | 2    
 Basic Pigment                                      | 1    
 Simple Untreated Plank                             | 2    
 Succulent Jam Sandwich                             | 5    
 Fine Wood Log                                      | 4    
 Exquisite Leather Output                           | 5    
 Grand Exquisite Sapphire                           | 5    
 Schematic: Perfected Luminite Pot                  | 6    
 Infused Bait                                       | 3    
 Overloaded Sturdy Cloth Torso Power Source         | 3    
 Deed: Mask Pattern - Flower Crown Blue             | -1   
 Perfected Aurumite Trowel Recipe                   | 2    
 Massive Sturdy Ruby                                | 3    
 Plain Roasted Ocean Fish                           | 1    
 Decayed Pyrelite Axe                               | 1    
 Tiny Fine Sapphire                                 | 4    
 Peerless Wood Log                                  | 6    
 High Quality Ferralith Module                      | 3    
 Overloaded Peerless Leather Head Power Source      | 6    
 Deed: Mask Pattern - Arrows Blue                   | -1   
 Overloaded Sturdy Cloth Head Power Source          | 3    
 Zesty Mashed Bulbs                                 | 3    
 Basic Embergrain Seeds                             | 1    
 Peerless Leather Head Power Source                 | 6    
 Simple Repaired Ancient Spring                     | 2    
 Schematic: Perfected Lirium Axe                    | 5    
 High Quality Sturdy Cloth                          | 3    
 Rough Repaired Ancient Wires                       | 1    
 Fine Cloth                                         | 4    
 Schematic: Perfected Lirium Scissors               | 5    
 Schematic: Simple Overloaded Cloth Module          | 2    
 Breezy Fin Darter Filet                            | 1    
 High Quality Peerless Leather Head Power Source    | 6    
 Decayed Aurumite Machete                           | 2    
 Lirium Ingot Output                                | 5    
 Basic Mortar                                       | 1    
 High Quality Exquisite Leather Torso Power Source  | 5    
 Fine Wispweave Plant                               | 4    
 Decayed Ancient Hoe                                | -1   
 High Quality Simple Cloth Hand Power Source        | 2    
 Abyssal Swordfish Products                         | 6    
 Decayed Elenvar Knife                              | 4    
 Deed: Mask - Unihorn Mask                          | -1   
 Ruby Inlaid Peerless Leather Leg Power Source      | 6    
 Deed: Mask - Four Points Mask                      | -1   
 Fine Trailmix                                      | 4    
 Crushed Fine Shells                                | 4    
 Long Cloth Gloves                                  | 1    
 Overloaded Peerless Leather Hand Power Source      | 6    
 Uncut Peerless Emerald                             | 6    
 Starseeker Student's Robe                          | 1    
 Simple Untreated Plank Output                      | 2    
 Peerless Embergrain Products                       | 6    
 Flint Scissors                                     | 1    
 Aurumite Chisel                                    | 2    
 High Quality Rough Plank                           | 1    
 Succulent Ground Meat and Mashed Bulbs             | 5    
 Lirium Ore Piece                                   | 5    
 Exquisite Bait and Shells                          | 5    
 Exquisite Gem                                      | 5    
 Crushed Piece of Argent Ore                        | -1   
 Perfected Ferralith Hammer                         | 4    
 Simple Cloth Torso Power Source                    | 2    
 Simple Cloth Gloves                                | 1    
 Developer Saw                                      | 4    
 Decayed Lirium Knife                               | 5    
 Fine Mushroom Stuffed Bulbs                        | 4    
 Advanced Building Blueprint                        | 5    
 Peerless Repaired Ancient Mechanism                | 6    
 Lirium Pickaxe                                     | 5    
 Crushed Luminite Ore                               | 6    
 Crushed Pyrelite Ore                               | 1    
 Rough Bonnet                                       | 1    
 Lirium Nails                                       | 5    
 Starseeker's Researcher's Emblem                   | 5    
 Sturdy Unpowered Cloth Module                      | 3    
 High Quality Fine Leather Head Power Source        | 4    
 Elenvar Quill                                      | 4    
 Shredded Notes                                     | -1   
 Exquisite Charcoal                                 | 5    
 Ferralith Torso Power Source                       | 3    
 High Quality Rough Cloth Hand Power Source         | 1    
 Luminite Ingot Output                              | 6    
 Sapphire Inlaid Sturdy Cloth Torso Power Source    | 3    
 Badly Damaged Leg Power Source                     | 1    
 Rough Leather Leg Power Source                     | 1    
 Essential Hieroglyphs                              | 3    
 Perfected Lirium Scissors                          | 6    
 Ancient Journal Page #5                            | -1   
 Sturdy Tool Handle                                 | 3    
 Rough Rock                                         | 1    
 Peerless Vibrant Module                            | -1   
 Aurumite Axe                                       | 2    
 Tiny Exquisite Ruby                                | 5    
 Elenvar Knife                                      | 4    
 Decayed Ancient Scissors                           | -1   
 High Quality Lirium Torso Power Source             | 5    
 Simple Embergrain Flour                            | 2    
 Rough Repaired Ancient Gear                        | 1    
 Dried Peerless Flowers                             | 6    
 Rough Plank Output                                 | 1    
 Mark of Brico                                      | -1   
 High Quality Simple Cloth                          | 2    
 Ruby Inlaid Simple Leather Torso Power Source      | 2    
 Emerald Inlaid Exquisite Stone Head Power Source   | 5    
 Schematic: Overloaded Elenvar Module               | 4    
 Peerless Leather Torso Power Source                | 6    
 Infused Raw Meat                                   | 3    
 Exquisite Dried Pelt                               | 5    
 Ferralith Ore Concentrate                          | 3    
 Dried Exquisite Flowers                            | 5    
 Schematic: Perfected Aurumite Chisel               | 2    
 Perfected Pyrelite Hoe                             | 2    
 Peerless Fabric                                    | 6    
 Exquisite Twine                                    | 5    
 High Quality Simple Leather Head Power Source      | 2    
 Fine Wispweave Filament                            | 4    
 Luminite Chisel                                    | 6    
 Grand Simple Emerald                               | 2    
 High Quality Luminite Module                       | 6    
 Deed: Improved Skiff                               | 1    
 High Quality Fine Cloth Leg Power Source           | 4    
 Plain Chilling Tea                                 | 1    
 Exquisite Parchment                                | 5    
 Ancient Enadarite Key                              | -1   
 Decayed Lirium Rod                                 | 5    
 Basic Fertilizer                                   | 1    
 Sapphire Inlaid Peerless Cloth Head Power Source   | 6    
 Fine Bread                                         | 4    
 Elenvar Ore Concentrate                            | 4    
 Sturdy Diamond                                     | 3    
 Succulent Trailmix                                 | 5    
 High Quality Simple Cloth Module                   | 2    
 Ruby Inlaid Simple Leather Head Power Source       | 2    
 Fine Fabric                                        | 4    
 Peerless Repaired Ancient Gear                     | 6    
 Fine Repaired Ancient Mechanism                    | 4    
 Perfected Pyrelite Chisel                          | 2    
 Overloaded Peerless Cloth Leg Power Source         | 6    
 Immortal Soldier's Leggings                        | 3    
 Perfected Lirium Pickaxe                           | 6    
 Ancient Trapsmith's Journal Page #1                | -1   
 Succulent Meat Sandwich                            | 5    
 Peerless Cloth                                     | 6    
 Decayed Lirium Pot                                 | 5    
 Fine Embergrain Seeds                              | 4    
 Fine Brick                                         | 4    
 Overloaded Elenvar Leg Power Source                | 4    
 Ambrosial Hot Tea                                  | 6    
 Beginner's Hieroglyphs                             | 1    
 Simple Unpowered Cloth Module                      | 2    
 Sturdy Repaired Ancient Gear                       | 3    
 Overloaded Rough Cloth Head Power Source           | 1    
 Sturdy Rock                                        | 3    
 Advanced Stone Diagram Research                    | 5    
 Fine Embergrain                                    | 4    
 Deed: Mask - Bug Mask                              | -1   
 High Quality Fine Cloth Hand Power Source          | 4    
 Schematic: Perfected Lirium Knife                  | 5    
 Overloaded Peerless Cloth Module                   | 6    
 Luminite Hand Power Source                         | 6    
 Perfected Elenvar Axe                              | 5    
 Simple Shell                                       | 2    
 Rough Cloth                                        | 1    
 Rough Dress                                        | 1    
 Perfected Ferralith Quill                          | 4    
 Sturdy Repaired Ancient Spring                     | 3    
 Overloaded Exquisite Leather Leg Power Source      | 5    
 Basic Mushroom                                     | 1    
 Pitch                                              | -1   
 Perfected Aurumite Cooking Pot Recipe              | 2    
 Exquisite Cloth Head Power Source                  | 5    
 Exquisite Embergrain Flour                         | 5    
 Fine Leather Head Power Source                     | 4    
 Decayed Aurumite Hammer                            | 2    
 High Quality Simple Leather Leg Power Source       | 2    
 Overloaded Rough Cloth Hand Power Source           | 1    
 Schematic: Perfected Luminite Machete              | 6    
 High Quality Ferralith Leg Power Source            | 3    
 Starseeker Researcher's Footwraps                  | 1    
 Flint Chisel                                       | 1    
 Simple Wispweave Plant                             | 2    
 Ambrosial Meat Sandwich                            | 6    
 Decayed Luminite Chisel                            | 6    
 Seastorm Tuna Filet                                | 4    
 Exquisite Chilling Module                          | 5    
 Succulent Roasted Fish                             | 5    
 Grass Robe                                         | 1    
 Pyrelite Ore Concentrate                           | 1    
 Overloaded Simple Cloth Head Power Source          | 2    
 Hexmoth Cocoon                                     | -1   
 Perfected Ferralith Pot                            | 4    
 Fine Fish and Bulbs                                | 4    
 Exquisite Shell                                    | 5    
 Grand Simple Sapphire                              | 2    
 Sturdy Unpowered Leather Module                    | 3    
 Basic Starbulb Seeds                               | 1    
 Overloaded Aurumite Hand Power Source              | 2    
 Succulent Bread                                    | 5    
 Peerless Leather                                   | 6    
 Plain Mushroom Stuffed Bulbs                       | 1    
 High Quality Lirium Module                         | 5    
 Overloaded Fine Leather Hand Power Source          | 4    
 Potted Cypress Sapling                             | 4    
 Starseeker Student's Emblem                        | 1    
 Diamond Inlaid Aurumite Leg Power Source           | 2    
 Beech Seed                                         | 1    
 Emerald Inlaid Fine Stone Leg Power Source         | 4    
 Sturdy Fabric                                      | 3    
 Starseeker Student's Armwraps                      | 1    
 Fine Diamond                                       | 4    
 Peerless Plant Fiber                               | 6    
 High Quality Luminite Leg Power Source             | 6    
 Power Core                                         | 6    
 Decayed Ferralith Hoe                              | 3    
 Overloaded Fine Cloth Hand Power Source            | 4    
 Fine Raw Bulb Rolls                                | 4    
 Schematic: Perfected Ferralith Hoe                 | 3    
 Plain Jam Sandwich                                 | 1    
 Grand Rough Emerald                                | 1    
 Sturdy Brick                                       | 3    
 Ferralith Chisel                                   | 3    
 High Quality Exquisite Cloth Torso Power Source    | 5    
 Zesty Roasted Meat                                 | 3    
 Fine Cloth Head Power Source                       | 4    
 Tiny Rough Sapphire                                | 1    
 Lirium Rod                                         | 5    
 Badly Damaged Head Power Source                    | 1    
 Diamond Inlaid Ferralith Torso Power Source        | 3    
 Exquisite Chilling Torso Power Source              | 5    
 Grand Rough Ruby                                   | 1    
 Decayed Lirium Quill                               | 5    
 Decayed Ancient Pickaxe                            | -1   
 Advanced Stone Carvings                            | 5    
 Perfected Aurumite Quill                           | 3    
 Luminite Ingot                                     | 6    
 Basic Berry                                        | 1    
 Water Bucket                                       | -1   
 Massive Exquisite Sapphire                         | 5    
 Peerless Cloth Hand Power Source                   | 6    
 Peerless Bait and Shells                           | 6    
 Rough Dried Pelt                                   | 1    
 Peerless Cloth Torso Power Source                  | 6    
 Blacksmith's Key Recipe                            | 1    
 Luminite Hoe                                       | 6    
 Decayed Luminite Saw                               | 6    
 Rough Plant Fiber                                  | 1    
 Peerless Untreated Plank Output                    | 6    
 Sapphire Inlaid Sturdy Cloth Head Power Source     | 3    
 Fine Unpowered Leather Module                      | 4    
 Black Cobblestone Road Recipe                      | -1   
 Schematic: Rough Overloaded Cloth Module           | 1    
 Fine Untreated Plank Output                        | 4    
 Fine Repaired Ancient Connector                    | 4    
 Peerless Blank Journal                             | 6    
 Fine Gem Dust                                      | 4    
 Perfected Aurumite Pickaxe                         | 3    
 Massive Simple Diamond                             | 2    
 Emerald Inlaid Peerless Stone Hand Power Source    | 6    
 Ruby Inlaid Fine Leather Leg Power Source          | 4    
 Proficient Stone Diagrams                          | 4    
 Sturdy Rope                                        | 3    
 Abyssal Swordfish Scale                            | 6    
 Emerald Inlaid Peerless Stone Torso Power Source   | 6    
 Fine Parchment                                     | 4    
 Deed: Hairstyle - Trailer Handband                 | -1   
 Emerald Inlaid Fine Stone Module                   | 4    
 Peerless Starbulb                                  | 6    
 Wild Grain Seeds                                   | 1    
 Proficient Study Journal                           | 4    
 Schematic: Overloaded Luminite Module              | 6    
 Rough Leather Output                               | 1    
 Fine Plank Output                                  | 4    
 Exquisite Berry                                    | 5    
 Exquisite Wood Log                                 | 5    
 Succulent Mushroom Skewer                          | 5    
 Purple Plank Road Recipe                           | -1   
 Perfected Elenvar Machete                          | 5    
 Azure Shark Products                               | 5    
 Exquisite Ruby                                     | 5    
 Flint Hammer                                       | 1    
 Coconut Hat                                        | 1    
 Schematic: Fine Overloaded Stone Module            | 4    
 Plain Roasted Fish                                 | 1    
 Perfected Elenvar Pot                              | 5    
 Developer Rod                                      | 11   
 Decayed Elenvar Saw                                | 4    
 Exquisite Forester's Pot                           | 5    
 Brico's Old Mallet                                 | 1    
 High Quality Fine Leather                          | 4    
 Succulent Roasted Meat                             | 5    
 Novice Stone Carvings                              | 2    
 Tiny Peerless Sapphire                             | 6    
 High Quality Simple Leather Module                 | 2    
 Elenvar Ingot Output                               | 4    
 Leather Heeled Boots                               | 1    
 Exquisite Stone Hand Power Source                  | 5    
 Emerald Inlaid Sturdy Stone Module                 | 3    
 Peerless Gem Dust                                  | 6    
 Coralcrest Darter Filet                            | 3    
 Overloaded Simple Leather Leg Power Source         | 2    
 Elenvar Hoe                                        | 4    
 Immortal Sergeant's Cap                            | 5    
 Ambrosial Fish and Bulbs                           | 6    
 Sturdy Leather                                     | 3    
 Comprehensive Hieroglyphs                          | 6    
 Comprehensive Stone Carvings                       | 6    
 Developer Quill                                    | 14   
 Peerless Stone Head Power Source                   | 6    
 High Quality Peerless Leather                      | 6    
 Emerald Inlaid Simple Stone Hand Power Source      | 2    
 Animal Fat                                         | -1   
 Exquisite Cloth Output                             | 5    
 Fine Berry Pie                                     | 4    
 Mark of Heimlich                                   | -1   
 Peerless Tree Bark                                 | 6    
 Willow Seed                                        | 3    
 Cooling Energy                                     | -1   
 Fine Unpowered Stone Module                        | 4    
 Savory Bread                                       | 2    
 Diamond Inlaid Luminite Torso Power Source         | 6    
 Overloaded Aurumite Module                         | 2    
 Schematic: Perfected Ferralith Pickaxe             | 3    
 Pyrelite Saw                                       | 1    
 Tiny Sturdy Emerald                                | 3    
 Simple Stone Torso Power Source                    | 2    
 High Quality Peerless Cloth Head Power Source      | 6    
 Fine Vibrant Module                                | -1   
 Potted Pine Sapling                                | 3    
 Peerless Wispweave Plant                           | 6    
 Sapphire Inlaid Simple Cloth Module                | 2    
 Exquisite Spool Of Thread                          | 5    
 High Quality Elenvar Hand Power Source             | 4    
 Simple Fertilizer                                  | 2    
 Overloaded Exquisite Cloth Module                  | 5    
 Fine Pebbles                                       | 4    
 Decayed Luminite Knife                             | 6    
 Plain Trailmix                                     | 1    
 Deed: Fisher's Boat                                | 1    
 Sturdy Chilling Module                             | 3    
 Luminite Axe                                       | 6    
 Sapphire Inlaid Exquisite Cloth Leg Power Source   | 5    
 Fine Tannin                                        | 4    
 Perfected Ferralith Axe                            | 4    
 Spruce Seed                                        | 3    
 Decayed Ancient Rod                                | -1   
 Overloaded Sturdy Leather Module                   | 3    
 Luminite Torso Power Source                        | 6    
 Aurumite Scissors                                  | 2    
 Molten Elenvar                                     | 4    
 Perfected Lirium Chisel                            | 6    
 Basic Embergrain                                   | 1    
 Ruby Inlaid Exquisite Leather Hand Power Source    | 5    
 Fine Tool Handle                                   | 4    
 Fine Shell                                         | 4    
 Ferralith Saw                                      | 3    
 High Quality Sturdy Cloth Torso Power Source       | 3    
 Peerless Plank Output                              | 6    
 Luminite Scissors                                  | 6    
 Lirium Hammer                                      | 5    
 Perfected Luminite Pickaxe                         | 7    
 Aurumite Ore Concentrate                           | 2    
 Sturdy Glowing Module                              | 3    
 Peerless Raw Meat                                  | 6    
 Simple Dried Pelt                                  | 2    
 Fine Embergrain Flour                              | 4    
 Basic Tannin                                       | 1    
 Diamond Inlaid Lirium Torso Power Source           | 5    
 Exquisite Clay Lump                                | 5    
 Overloaded Exquisite Cloth Leg Power Source        | 5    
 Exquisite Large Leather Output                     | 5    
 Ferralith Pickaxe                                  | 3    
 Professional's Mallet                              | 1    
 Pyrelite Axe                                       | 1    
 Dendro Seed                                        | 2    
 Schematic: Perfected Elenvar Axe                   | 4    
 Birch Seed                                         | 1    
 Dried Simple Flowers                               | 2    
 Driftwood Crayfish                                 | 2    
 Perfected Luminite Hammer                          | 7    
 Peerless Embergrain                                | 6    
 Crushed Elenvar Ore                                | 4    
 Uncut Rough Emerald                                | 1    
 Schematic: Perfected Ferralith Axe                 | 3    
 Ruby Inlaid Fine Leather Module                    | 4    
 Basic Fish Oil                                     | 1    
 High Quality Exquisite Cloth                       | 5    
 Zesty Bulb Rolls                                   | 3    
 Exquisite Flower                                   | 5    
 Exquisite Wispweave Products                       | 5    
 Overloaded Sturdy Leather Hand Power Source        | 3    
 Overloaded Peerless Cloth Hand Power Source        | 6    
 Serpentfish Products                               | 2    
 Developer Pot                                      | 12   
 Emberfin Shiner                                    | 2    
 Potted Birch Sapling                               | 1    
 Lirium Knife                                       | 5    
 Mossfin Chub                                       | 4    
 Potted Spruce Sapling                              | 3    
 High Quality Exquisite Cloth Leg Power Source      | 5    
 Developer Knife                                    | 7    
 Schematic: Perfected Pyrelite Chisel               | 1    
 Tattered Belt                                      | 1    
 Exquisite Pebbles Output                           | 5    
 Simple Wispweave Seeds                             | 2    
 Starseeker Scribe's Armwraps                       | 3    
 High Quality Fine Cloth Head Power Source          | 4    
 Luminite Rod                                       | 6    
 Grand Simple Diamond                               | 2    
 Teal Cobblestone Road Recipe                       | -1   
 Exquisite Repaired Ancient Spring                  | 5    
 Perfected Lirium Rod                               | 6    
 Proficient Stone Carvings                          | 4    
 Sturdy Stone Torso Power Source                    | 3    
 Aurumite Ingot Output                              | 2    
 Decayed Ancient Quill                              | -1   
 Massive Simple Ruby                                | 2    
 Damaged Ancient Connector                          | -1   
 Ambrosial Raw Dumpling                             | 6    
 Exquisite Raw Pelt                                 | 5    
 Unpowered Aurumite Module                          | 2    
 Ruby Inlaid Simple Leather Leg Power Source        | 2    
 Peerless Dried Pelt                                | 6    
 High Quality Ferralith Torso Power Source          | 3    
 Leather Dress                                      | 1    
 Sturdy Chilling Torso Power Source                 | 3    
 Fine Cooked Berries                                | 4    
 Rough Unpowered Stone Module                       | 1    
 Mark of the Twins                                  | -1   
 Dried Basic Flowers                                | 1    
 Decayed Pyrelite Bow                               | 1    
 Potted Oak Sapling                                 | 1    
 Schematic: Perfected Luminite Axe                  | 6    
 Diamond Inlaid Ferralith Leg Power Source          | 3    
 Exquisite Plank Output                             | 5    
 Simple Cloth                                       | 2    
 Plain Vegetable Stew                               | 1    
 Rough Tool Handle                                  | 1    
 Massive Fine Ruby                                  | 4    
 Exquisite Tannin                                   | 5    
 Deed: Mask Pattern - Runic Yellow                  | -1   
 Ruby Inlaid Fine Leather Torso Power Source        | 4    
 Uncut Simple Diamond                               | 2    
 Zesty Mushroom Skewer                              | 3    
 Ruby Inlaid Fine Leather Hand Power Source         | 4    
 Overloaded Simple Leather Module                   | 2    
 Exquisite Pulsing Module                           | -1   
 Overloaded Rough Leather Head Power Source         | 1    
 Rough Stone Torso Power Source                     | 1    
 Fine Blank Journal                                 | 4    
 Decayed Lirium Hammer                              | 5    
 Perfected Pyrelite Hammer Recipe                   | 1    
 Schematic: Peerless Overloaded Leather Module      | 6    
 Uncut Peerless Ruby                                | 6    
 Uncut Fine Ruby                                    | 4    
 Rough Glowing Module                               | 1    
 Decayed Elenvar Chisel                             | 4    
 Grand Exquisite Diamond                            | 5    
 Crushed Sturdy Shells                              | 3    
 Basic Cloth Footwraps                              | 1    
 Exquisite Leather Torso Power Source               | 5    
 High Quality Fine Leather Module                   | 4    
 Ancient Journal Page #6                            | -1   
 Aurumite Hoe                                       | 2    
 Overloaded Aurumite Head Power Source              | 2    
 Schematic: Perfected Aurumite Saw                  | 2    
 Ambrosial Roasted Meat                             | 6    
 Rough Blank Journal                                | 1    
 Deed: Raft                                         | 1    
 Unpowered Luminite Module                          | 6    
 Overloaded Ferralith Hand Power Source             | 3    
 Exquisite Heated Module                            | 5    
 Decayed Aurumite Scissors                          | 2    
 High Quality Exquisite Cloth Module                | 5    
 Emerald Inlaid Exquisite Stone Torso Power Source  | 5    
 High Quality Exquisite Cloth Head Power Source     | 5    
 Peerless Clay Lump                                 | 6    
 Perfected Pyrelite Bow                             | 2    
 Fine Meat Sandwich                                 | 4    
 High Quality Fine Cloth                            | 4    
 Straw Hat                                          | 1    
 Succulent Mushroom Stuffed Bulbs                   | 5    
 Infused Ink                                        | 3    
 Schematic: Perfected Pyrelite Scissors             | 1    
 Emerald Inlaid Simple Stone Torso Power Source     | 2    
 Emberfin Shiner Products                           | 2    
 Fine Flower                                        | 4    
 Fine Stone Head Power Source                       | 4    
 Emerald Inlaid Simple Stone Leg Power Source       | 2    
 Developer Bow                                      | 8    
 Stick                                              | -1   
 Diamond Inlaid Aurumite Hand Power Source          | 2    
 Perfected Pyrelite Pot                             | 2    
